[authlib-injector] [INFO] Logging file: F:\ModTest\versions\1.16.5-Forge\authlib-injector.log
[authlib-injector] [INFO] Version: 1.2.7
[authlib-injector] [INFO] Authentication server: http://localhost:50015
[authlib-injector] [WARNING] You are using HTTP protocol, which is INSECURE! Please switch to HTTPS if possible.
2026-08-30 07:26:31,744 main ERROR Error processing element Queue ([Appenders: null]): CLASS_NOT_FOUND
2026-08-30 07:26:32,181 main ERROR Unable to locate appender "ServerGuiConsole" for logger config "root"
[07:26:32] [main/INFO]: ModLauncher running: args [--username, 165, --version, 1.16.5-Forge, --gameDir, F:\ModTest\versions\1.16.5-Forge, --assetsDir, F:\ModTest\assets, --assetIndex, 1.16, --uuid, 9ec8cd4d374a31d2acee87a84f0d903d, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, HMCL 3.16.0.348, --width, 1280, --height, 768, --launchTarget, fmlclient, --fml.forgeVersion, 36.2.42, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20210115.111550]
[07:26:33] [main/INFO]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 17.0.11 by Oracle Corporation
[07:26:34] [main/INFO]: Added Lets Encrypt root certificates as additional trust
[07:26:34] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/F:/ModTest/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=CLIENT
[07:26:37] [main/INFO]: Launching target 'fmlclient' with arguments [--version, 1.16.5-Forge, --gameDir, F:\ModTest\versions\1.16.5-Forge, --assetsDir, F:\ModTest\assets, --uuid, 9ec8cd4d374a31d2acee87a84f0d903d, --username, 165, --assetIndex, 1.16, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, HMCL 3.16.0.348, --width, 1280, --height, 768]
[07:26:38] [main/INFO]: Wrote 14847 byte class file net.minecraft.client.main.Main to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.client.main.Main.class
[authlib-injector] [INFO] Transformed [net.minecraft.client.main.Main] with [Main Arguments Transformer]
[authlib-injector] [INFO] Transformed [net.minecraft.client.main.Main] with [Main Arguments Transformer]
[07:26:40] [pool-3-thread-1/INFO]: Wrote 1651 byte class file net.minecraftforge.event.RegistryEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.RegistryEvent.class
[07:26:40] [pool-3-thread-1/INFO]: Wrote 5408 byte class file net.minecraftforge.event.RegistryEvent$MissingMappings to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.event.RegistryEvent$MissingMappings.class
[07:26:40] [pool-3-thread-1/INFO]: Wrote 2646 byte class file net.minecraftforge.fml.event.lifecycle.ModLifecycleEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.fml.event.lifecycle.ModLifecycleEvent.class
[07:26:40] [pool-3-thread-1/INFO]: Wrote 5714 byte class file net.minecraftforge.fml.event.lifecycle.FMLModIdMappingEvent to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraftforge.fml.event.lifecycle.FMLModIdMappingEvent.class
[07:26:40] [pool-3-thread-1/INFO]: Wrote 36848 byte class file net.minecraft.block.Block to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.Block.class
[07:26:41] [pool-3-thread-1/INFO]: Wrote 1392 byte class file net.minecraft.block.AirBlock to C:\Users\hdlhdh\AppData\Local\Temp\classDump6380543733692286588\net.minecraft.block.AirBlock.class
